-52,-41,-54,-55,2
-56,-38,-52,-49,2
-59,-54,-52,-50,2
-70,-47,-46,-58,2
-69,-48,-43,-53,2
-60,-55,-39,-83,2
-59,-50,-39,-74,2
-56,-51,-43,-54,2
0,-45,-39,-59,2
-53,-45,-40,-80,2
-54,-42,-40,-64,2
-53,-50,-38,-68,2
-59,-56,-40,-64,2
-53,-50,-41,-74,2
-64,-47,-47,-63,2
-65,-42,-41,-62,2
-54,-59,-43,-54,2
-56,-41,-54,-56,2
0,-42,-68,-61,2
-43,-45,-59,-58,2
-44,-42,-65,-60,2
-42,-42,-63,-55,2
-44,-42,-65,-52,2
-42,-38,-64,-53,2
-42,-40,0,-54,2
-42,-42,-58,-54,2
-44,-40,-69,-57,2
-45,-42,-53,-56,2
-44,-41,-46,-50,2
-46,-41,-54,-54,2
-45,-42,-45,-57,2
-42,-42,-46,-53,2
-52,-41,-44,-53,2
-48,-41,-41,-51,2
-69,-40,-41,-51,2
-53,-37,-44,-54,2
-61,-41,-43,-56,2
-60,-43,-42,-56,2
-61,-38,-43,-52,2
-57,-40,-40,-50,2
-53,-53,-39,-55,2
-52,-41,-40,-62,2
-63,-40,-39,-62,2
-63,-45,-39,-56,2
-50,-42,0,-62,2
-50,-42,-38,-62,2
-49,-45,-46,-66,2
-48,-47,-47,-64,2
-55,-45,-41,-71,2
-54,-59,-38,-68,2
-58,-50,-40,-64,2
-53,-55,-43,-65,2
-53,-42,-40,-58,2
-58,-50,-41,-58,2
-54,-44,-44,-65,2
-53,-41,-52,-53,2
-52,-47,-62,-60,2
-42,-40,-58,-56,2
-41,-43,-60,-61,2
-41,-45,-56,-52,2
0,-44,-58,-57,2
-48,-43,-53,-56,2
-50,-38,-51,-54,2
-48,-39,-48,-54,2
-48,-50,-49,-53,2
-48,-48,-56,-54,2
-58,-40,-54,-48,2
-53,-42,-50,-53,2
0,-43,-48,-54,2
-53,-51,-44,-48,2
-54,-45,-50,-52,2
-53,-39,-50,-51,2
-48,-47,-50,-50,2
-50,-48,-50,-50,2
-55,-46,-46,-52,2
-51,-40,-48,-64,2
-63,-41,-43,-56,2
-64,-45,-44,-64,2
0,-45,-49,-58,2
-62,-42,-42,-52,2
-65,-48,-39,-50,2
-57,-42,-44,-53,2
-54,-39,-42,-50,2
-63,-43,-37,-63,2
-52,-52,-37,-53,2
-54,-40,-36,-70,2
-63,-46,-36,-53,2
-56,-44,-34,-58,2
-57,-45,0,-58,2
-49,-45,-38,-64,2
0,-55,-40,-64,2
-51,-53,-39,-64,2
-54,-58,-39,-57,2
-56,-46,-46,-62,2
-54,-59,-40,-61,2
-64,-58,-38,-61,2
-55,-45,-38,-64,2
-54,-48,-39,-63,2
-58,-50,-39,-65,2
-57,-57,-40,-65,2
-59,-47,-43,-71,2
-53,-49,-43,-64,2
-49,-46,-41,-57,2
-54,-45,-48,-62,2
-47,-51,-60,-61,2
0,-45,-58,-60,2
-46,-41,-64,-54,2
-45,-39,-64,-56,2
-43,-41,-66,-55,2
-42,-44,-63,-56,2
-44,-42,0,-55,2
-44,-44,-61,-51,2
-43,-47,-57,-53,2
-41,-44,-56,-52,2
-42,-48,-53,-54,2
-45,-41,-47,-64,2
0,-42,-43,-53,2
-41,-41,-41,-51,2
-41,-39,-41,-50,2
-41,-38,-43,-50,2
-41,-39,-43,-50,2
-49,-37,-46,-52,2
-48,-42,-42,-50,2
0,-36,-43,-52,2
-52,-39,-39,-58,2
-64,-40,-44,-53,2
-49,-39,-42,-52,2
-48,-38,-44,-51,2
-47,-43,-80,-54,2
-47,-37,-48,-55,2
-55,-37,-45,-52,2
-61,-38,-43,-57,2
0,-45,-40,-54,2
-56,-47,-40,-55,2
-63,-36,-42,-56,2
-64,-41,-43,-50,2
-64,-43,-39,-50,2
-76,-47,-38,-55,2
-65,-40,-38,-56,2
-76,-54,-41,-58,2
0,-73,-38,-54,2
-61,-51,-37,-61,2
-56,-45,0,-72,2
-53,-51,-39,-65,2
-57,-46,-41,-59,2
-51,-44,-39,-64,2
-50,-55,-44,-64,2
-54,-47,-44,-69,2
-63,-45,-39,-71,2
-53,-49,-42,-65,2
-49,-65,-51,-66,3
-45,-55,-56,-61,3
-42,-51,-60,-63,3
-48,-60,-59,-56,3
-51,-63,-66,-57,3
-50,-48,-59,-60,3
-53,-50,-68,-53,3
-52,-65,-57,-59,3
-48,-56,0,-56,3
-44,-66,-59,-54,3
-48,-54,-53,-72,3
-57,-55,-54,-62,3
-49,-65,-55,-56,3
-47,-83,-50,-63,3
-93,-64,-54,-58,3
-47,-63,-54,-58,3
-47,-64,-53,-58,3
-46,-64,-53,-57,3
-47,-58,-58,-57,3
-49,-66,-53,-62,3
-49,-66,-53,-58,3
-48,-57,-55,-59,3
-46,-62,-52,-61,3
-59,-60,-53,-54,3
-54,-52,-49,-53,3
-44,-57,-47,-54,3
-49,-55,-46,-55,3
-51,-59,-44,-58,3
-47,-57,-44,-51,3
-57,-56,-48,-62,3
-41,-68,-46,-66,3
-50,-63,-47,-70,3
-51,-60,-47,-71,3
-53,-57,-48,-79,3
-53,-58,0,-67,3
-51,-58,-47,-78,3
-44,-66,-46,-74,3
-38,-70,-45,-70,3
-38,-73,-47,-69,3
-39,-66,-47,-68,3
-41,-70,-49,-73,3
-44,-67,-50,-64,3
-40,-62,-49,-84,3
-47,-60,-48,-66,3
-38,-69,-50,-81,3
-43,-64,-48,-67,3
-44,-72,-46,-67,3
-40,-72,-48,-71,3
-48,-64,-48,-71,3
-43,-63,-59,-70,3
-52,-59,-56,-63,3
-49,-88,-53,-64,3
-50,-63,-59,-74,3
-47,-50,-50,-66,3
-48,-54,-48,-59,3
-46,-56,-41,-57,3
-46,-58,0,-56,3
-44,-55,-44,-56,3
0,-86,-43,-58,3
-46,-59,-46,-57,3
-46,-54,-44,-62,3
-47,-52,0,-56,3
-48,-55,-44,-61,3
-44,-59,-47,-58,3
-46,-58,-47,-61,3
-48,-74,-46,-53,3
-49,-54,-46,-53,3
-47,-52,-44,-50,3
-46,-58,-42,-53,3
-43,-59,-43,-56,3
-46,-60,-41,-54,3
-45,-55,-45,-56,3
-45,-55,0,-53,3
-50,-55,-48,-55,3
0,-54,-51,-52,3
-49,-51,-48,-54,3
-51,-56,-45,-55,3
-60,-54,-48,-54,3
-48,-56,-54,-56,3
-53,-53,-55,-57,3
-50,-52,-53,-57,3
-49,-56,-52,-54,3
-51,-57,-52,-53,3
-51,-52,-51,-57,3
-51,-53,-49,-56,3
-51,-53,-51,-58,3
-49,-50,-52,-54,3
-51,-53,-51,-56,3
-48,-53,-51,-55,3
-46,-56,-52,-58,3
-50,-52,-53,-54,3
-51,-52,-52,-63,3
-53,-51,-54,-54,3
-51,-54,-53,-59,3
-50,-52,-52,-57,3
-50,-55,-54,-62,3
-51,-62,-53,-53,3
-49,-54,-54,-56,3
-49,-54,-55,-53,3
-50,-53,0,-54,3
-49,-52,-54,-55,3
-49,-54,-51,-55,3
-49,-52,-53,-54,3
-51,-54,-49,-58,3
-57,-66,0,-64,3
-51,-52,-51,-54,3
-55,-67,0,-55,3
-52,-52,0,-56,3
-54,-65,-50,-67,3
-45,-54,-53,-68,3
-51,-62,-53,-63,3
-59,-62,-51,-63,3
-53,-57,-55,-70,3
-48,-64,-63,-66,3
-53,-53,-59,-68,3
0,-63,-59,-76,3
-47,-52,-58,-57,3
0,-53,-62,-64,3
-41,-57,-59,-64,3
-53,-55,-62,-68,3
-42,-55,-57,-62,3
-39,-56,-57,-62,3
0,-56,-50,-64,3
-43,-63,-48,0,3
-43,-62,-48,-76,3
-46,-63,-49,-66,3
-46,-67,-51,-64,3
0,-61,-64,-64,3
-40,-61,-57,-65,3
-39,-57,-50,-91,3
-39,-63,-53,-65,3
-40,-59,-51,-67,3
-41,-59,-52,-73,3
-41,-66,-49,0,3
-44,-64,0,-68,3
0,-61,-48,-68,3
-40,-56,-46,0,3
-66,-60,-45,-64,3
-46,-58,-43,-82,3
-55,-62,-46,-70,3
-53,-61,-46,0,3
-51,-62,-46,-75,3
-48,-63,-48,-72,3
-43,-60,-47,-73,3
-41,-57,-44,-80,3
0,-60,-45,-80,3
-54,-65,-44,-74,3
-49,-63,-46,-74,3
-52,-61,-46,-71,3
-57,-66,-46,-65,3
-45,-63,-46,-67,3
-52,-60,-45,-76,3
-47,-59,-46,-76,3
-50,-59,-47,-78,3
-42,-59,-44,-78,3
-40,-59,-42,-70,3
-42,-66,-45,-75,3
0,-55,-44,0,3
-53,-54,-44,0,3
-51,-56,-46,-72,3
-46,-53,-47,-72,3
-52,-53,-49,-84,3
-47,-54,-48,0,3
-46,-60,-46,-72,3
-48,-58,-52,-69,3
-52,-66,0,-81,3
-45,-62,-61,-65,3
-44,-56,-64,-63,3
-50,-57,-66,-59,3
-52,-59,-66,-60,3
-51,-55,0,-64,3
-44,-55,-59,-64,3
-49,-56,-68,-63,3
-54,-60,-59,-63,3
-54,-61,-55,0,3
-49,-64,-47,-67,3
0,-58,0,0,3
-50,-58,-57,-63,3
-46,-59,-59,-60,3
